Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Australia,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0502966486169,0.0546351246521,0.0462465912598
Australia,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0497236357763,0.0539744929586,0.0458944826238
Australia,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0492314342438,0.0532236164682,0.0455815827339
Australia,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0488451613575,0.0527965402771,0.0453039513398
Australia,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0486250713632,0.0526431185262,0.0450231547251
Australia,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0486052594538,0.0528291287079,0.045021571368
Australia,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0488025592498,0.0527870293411,0.0453473564943
Australia,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0490834722938,0.0528814608739,0.0457591023396
Australia,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.049410123017,0.053153116768,0.0461935833791
Australia,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0498078060481,0.0536587918657,0.0465689101397
Australia,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0502439364559,0.0541311465531,0.0467639239133
Australia,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0509067036222,0.0547546462774,0.0474905647883
Australia,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0518181546569,0.0558101406138,0.048262699902
Australia,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.052789956303,0.0568512156739,0.0488642545954
Australia,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0537150430614,0.0579440605278,0.0494916344239
Australia,2005,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0544217838581,0.0590727365361,0.0498921220184
Australia,2006,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0552472014191,0.0596845483552,0.0508334833274
Australia,2007,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0564057671873,0.0607692731431,0.0522197624029
Australia,2008,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0575937621425,0.0620362263615,0.0533912356015
Australia,2009,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0586284853002,0.0632554524386,0.0539968648928
Australia,2010,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0592582788088,0.064466231752,0.0542480639401
Australia,2011,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0596300805019,0.0645881919192,0.0550291041785
Australia,2012,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0600327073617,0.0648292795603,0.055442985059
Australia,2013,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0604033073278,0.0652758787934,0.0558780488052
Australia,2014,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0607683705848,0.0659507865706,0.0560367146205
Australia,2015,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0611081163432,0.0665609297042,0.0560183038338
Australia,2016,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0614568386699,0.067337151925,0.0560229065442
Australia,2017,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0617992552745,0.0681542785016,0.0560292465689
Austria,1990,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0561784193182,0.0609851547437,0.0518942531006
Austria,1991,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0579420808084,0.0626851979466,0.0538069160734
Austria,1992,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0597098161952,0.0646412594254,0.0554738860466
Austria,1993,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0613915364212,0.0663808698193,0.0571759279773
Austria,1994,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0631315969975,0.0682895202998,0.0587891516963
Austria,1995,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0649805471681,0.0704476221353,0.0603122444268
Austria,1996,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0666859567141,0.0722713770342,0.0620417545889
Austria,1997,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.068546637376,0.0742688605963,0.0637436289633
Austria,1998,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0703311201487,0.0763582682489,0.0654709530307
Austria,1999,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0721260466398,0.0786585250172,0.066984117651
Austria,2000,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0738748293687,0.0811171442295,0.0684196535894
Austria,2001,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0752671340787,0.0823805546579,0.0699314691939
Austria,2002,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0767212057225,0.0835610065549,0.0712966481409
Austria,2003,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.078069074513,0.0848231069954,0.0722688989777
Austria,2004,All ages,Both,Diabetes mellitus,Percent of total prevalent cases,0.0795444862224,0.0862234052842,0.0732135760347
